城市,VREGION,HREGION,OTHERVREGION,OTHERHREGION,OTHERMANAGE,LAC,CELLID,DURATION,SPECIALTYPE,TOTAL_FREE,FREEFORMATDATA,ORG_HREGION,ORG_OTHERHREGION
张家口,313,313,668,668,2.2,3187,ABADB80,23,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,BD26045,16,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,BD26045,46,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,BD29A42,57,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,29,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,E69A701,43,8169,vpmn,800117.0,313,668
秦皇岛,335,335,668,668,2.2,220B06,10BD80003,42,8169,vpmn,800117.0,335,668
秦皇岛,335,335,668,668,2.2,307F,5155C41,42,8169,vpmn,800117.0,335,668
张家口,313,313,668,668,2.2,22031A,103182003,22,8169,vpmn,800117.0,313,668
秦皇岛,335,335,668,668,2.2,307F,5155C41,38,8169,vpmn,800117.0,335,668
秦皇岛,335,335,668,668,2.2,220B06,10BD80003,23,8169,vpmn,800117.0,335,668
张家口,313,313,668,668,2.2,22031A,10EDBB003,17,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,84DAAC1,37,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,BD26045,46,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,84DAAC1,19,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,44,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,84DAAC1,25,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,84DAAC1,12,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,BD26041,21,8163,vpmn,800117.0,313,668
张家口,313,313,660,660,2.2,325C,ABC0982,9,8163,vpmn,800117.0,313,660
张家口,313,313,668,668,2.2,3187,997A2C4,41,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,57,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,10343B001,35,8163,vpmn,800117.0,313,668
秦皇岛,335,335,668,668,2.2,32F0,BF67F41,44,8169,vpmn,800117.0,335,668
张家口,313,313,668,668,2.2,22031A,103ED7001,52,8163,vpmn,800117.0,313,668
唐山,315,315,660,660,2.2,319C,99DB1C1,33,8169,vpmn,800117.0,315,660
秦皇岛,335,335,668,668,2.2,220B19,10B33C001,49,8169,vpmn,800117.0,335,668
张家口,313,313,668,668,2.2,3187,BD25E44,26,8169,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,33,8163,vpmn,800117.0,313,668
张家口,313,313,660,660,2.2,31BC,7E4F740,20,8163,vpmn,800117.0,313,660
张家口,313,313,668,668,2.2,22031A,103ED7001,10,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,84DAAC1,46,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7002,44,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7002,32,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,21,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,3187,ABAD883,23,8163,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103ED7001,24,8163,vpmn,800117.0,313,668
秦皇岛,335,335,668,668,2.2,3265,E44080B,21,8169,vpmn,800117.0,335,668
张家口,313,313,668,668,2.2,22031A,103DEC003,37,8169,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,10ED42001,28,8169,vpmn,800117.0,313,668
张家口,313,313,663,663,2.2,3187,ABA5B82,23,8169,vpmn,800117.0,313,663
张家口,313,313,668,668,2.2,22031A,103DEC003,23,8169,vpmn,800117.0,313,668
张家口,313,313,954,954,2.951,304A,A1E86C0,0,901JJJ,0,0,313,954
张家口,313,313,660,660,2.2,31BC,BD28745,44,8169,vpmn,800117.0,313,660
沧州,317,317,357,357,2.351,32A9,548D352,0,901JJJ,0,0,317,357
沧州,317,317,357,357,2.351,32A9,B366E49,0,901JJJ,0,0,317,357
衡水,318,318,663,663,2.2,22070A,1071EB002,16,8169,vpmn,800117.0,318,663
张家口,313,313,668,668,2.2,3187,99873C5,35,8169,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103593003,25,8169,vpmn,800117.0,313,668
张家口,313,313,668,668,2.2,22031A,103261001,40,8169,vpmn,800117.0,313,668
